https://www.random.org/integers/?num=380&min=1&max=100&col=1&base=10&format=plain&rnd=date.2021-02-20
35,20,68,87,3,98,79,9,44,35,73,93,4,27,52,70,23,19,88,13,97,46,10,24,1,85,38,75,36,24,27,88,3,5,21,13,44,38,82,7,73,8,73,44,45,2,21,71,83,37,52,93,27,39,36,84,54,49,58,61,86,20,89,23,96,28,15,100,59,72,56,94,13,94,68,98,83,82,3,94,85,46,72,76,54,82,8,70,63,69,77,99,22,55,91,48,79,85,27,55,80,75,21,20,72,81,94,62,9,85,77,18,83,19,7,35,4,98,12,42,63,59,19,94,49,36,2,18,92,62,55,30,49,64,34,16,75,61,46,99,25,16,57,26,66,37,19,14,42,59,67,91,29,52,13,9,86,5,8,56,69,72,12,44,37,56,10,54,78,81,15,41,27,19,76,99,21,13,32,26,60,15,47,91,43,73,99,66,39,37,34,38,63,38,32,27,19,48,56,20,31,94,30,56,35,34,88,89,74,34,53,10,51,84,81,19,60,60,68,22,41,50,49,59,69,50,47,40,15,15,28,4,5,61,37,61,40,32,50,14,14,61,62,85,38,22,8,66,6,15,31,72,73,5,87,74,7,84,66,80,51,1,42,65,24,5,3,17,27,95,78,68,6,51,66,53,89,96,57,7,16,83,23,26,39,76,97,36,98,75,30,54,28,87,15,52,38,53,72,68,43,49,18,96,54,73,83,12,58,33,50,70,92,37,94,88,10,42,44,51,77,63,99,58,96,80,98,25,10,21,83,91,65,45,69,84,37,44,3,15,40,79,63,63,13,76,6,34,6,11,53,97,25,99,17,85,59,68,88,21,17,37,69,28,18,75,40,47,18,22,45,54,96,24,69,41,21,57,40,48,

1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,35,20,68,87,3,98,79,9,44,35,73,93,4,27,52,70,23,19,88
13,0,97,46,10,24,1,85,38,75,36,24,27,88,3,5,21,13,44,38
82,7,0,73,8,73,44,45,2,21,71,83,37,52,93,27,39,36,84,54
49,58,61,0,86,20,89,23,96,28,15,100,59,72,56,94,13,94,68,98
83,82,3,94,0,85,46,72,76,54,82,8,70,63,69,77,99,22,55,91
48,79,85,27,55,0,80,75,21,20,72,81,94,62,9,85,77,18,83,19
7,35,4,98,12,42,0,63,59,19,94,49,36,2,18,92,62,55,30,49
64,34,16,75,61,46,99,0,25,16,57,26,66,37,19,14,42,59,67,91
29,52,13,9,86,5,8,56,0,69,72,12,44,37,56,10,54,78,81,15
41,27,19,76,99,21,13,32,26,0,60,15,47,91,43,73,99,66,39,37
34,38,63,38,32,27,19,48,56,20,0,31,94,30,56,35,34,88,89,74
34,53,10,51,84,81,19,60,60,68,22,0,41,50,49,59,69,50,47,40
15,15,28,4,5,61,37,61,40,32,50,14,0,14,61,62,85,38,22,8
66,6,15,31,72,73,5,87,74,7,84,66,80,0,51,1,42,65,24,5
3,17,27,95,78,68,6,51,66,53,89,96,57,7,0,16,83,23,26,39
76,97,36,98,75,30,54,28,87,15,52,38,53,72,68,0,43,49,18,96
54,73,83,12,58,33,50,70,92,37,94,88,10,42,44,51,0,77,63,99
58,96,80,98,25,10,21,83,91,65,45,69,84,37,44,3,15,0,40,79
63,63,13,76,6,34,6,11,53,97,25,99,17,85,59,68,88,21,0,17
37,69,28,18,75,40,47,18,22,45,54,96,24,69,41,21,57,40,48,0
