Best Solution Found: (18769)
01 18 22 11 04 20 12 24 10 16 08 25 07 09 17 21 15 27 05 23 06 19 29 28 13 30 03 02 14 26 01

01 18 = 149
18 22 = 231
22 11 = 1332
11 04 = 62
04 20 = 515
20 12 = 303
12 24 = 522
24 10 = 730
10 16 = 152
16 08 = 33
08 25 = 848
25 07 = 77
07 09 = 3006
09 17 = 279
17 21 = 920
21 15 = 1239
15 27 = 1213
27 05 = 11
05 23 = 651
23 06 = 4
06 19 = 101
19 29 = 433
29 28 = 209
28 13 = 416
13 30 = 1200
30 03 = 1627
03 02 = 1206
02 14 = 146
14 26 = 159
26 01 = 995
