https://www.random.org/integers/?num=870&min=1&max=10000&col=1&base=10&format=plain&rnd=date.2021-02-20
2500,5606,4425,3380,8855,2392,1633,5770,85,4811,4504,261,1580,1022,9339,5549,149,9043,6621,3367,4564,6202,7766,2521,1892,7496,5832,9654,8895,9827,2743,7031,9493,2504,1109,9746,803,482,5311,7443,6180,146,3833,6208,4240,9533,5859,3088,7194,8357,2318,5360,8539,3636,1545,952,9100,5607,4664,1206,9937,1900,5232,3347,9699,2573,3994,1839,5449,4974,4642,4799,4768,3347,6128,7160,2463,7075,9449,4277,6503,2364,7672,8598,6321,8754,6010,5007,1820,573,7720,4018,1777,1725,7893,4847,2696,655,3912,9336,635,852,8400,6522,42,515,2075,8686,691,6745,784,3301,4940,4578,9598,3766,3543,1844,6728,8682,5425,2272,6857,7412,4146,8924,5292,9791,1173,8303,5743,5507,5071,8054,7949,9606,4345,651,6753,3171,2133,8664,2577,4718,8732,2251,5039,2198,6880,3013,5141,7293,5040,1347,2373,7186,881,2853,8941,8518,315,1111,101,6835,5137,7496,6969,9418,6870,1263,1990,7602,6344,9565,3385,8126,7261,9182,2093,8667,1605,3006,6950,6030,5751,9155,3322,7521,7103,2199,7252,5949,7132,4357,858,9361,7633,7658,7688,3614,8876,9679,7367,4759,4111,9837,728,4073,9854,6493,9321,1481,3020,3553,4350,2346,2099,6249,9855,6824,1365,8446,9164,6920,5065,9477,848,1418,647,360,2060,6580,1696,9212,9045,7146,9938,8756,8480,4939,6395,2368,1627,7205,1030,2066,6837,279,7996,2740,1589,9531,5785,6270,2532,6743,2208,1669,7184,8360,9620,6013,9696,8757,1779,6672,5161,6014,6910,5086,5896,5801,2900,9921,7870,152,8412,4637,5031,9113,7599,6673,8617,1449,8449,3751,1772,80,6063,1052,8360,5727,7248,62,1286,5877,5818,5068,5285,2674,6425,7333,6264,7996,6608,2340,8649,1481,3857,7820,7407,9650,1887,9524,6830,7210,2895,7695,7191,1420,5656,6060,429,4176,1053,8947,6886,2244,7883,1260,600,5083,8352,4217,2192,7965,1154,1498,9286,5313,2980,522,4756,7631,5921,9422,8513,3289,7120,237,3814,583,6988,6917,4918,3149,4007,8958,2769,9991,2732,5093,8547,9277,4954,857,8678,2724,7501,4597,8271,888,385,6403,9665,7052,1200,2162,813,4747,2815,2894,7173,2245,4903,5799,4718,3792,3058,3015,4144,8330,4727,1788,8486,1647,8728,1186,614,8972,3900,159,5991,7190,9254,1831,7399,6851,5601,9414,6113,9799,5075,9630,8045,9839,8983,4804,6980,2250,1861,8187,7068,5714,4543,9404,7522,1237,2255,7508,6783,1213,7812,9759,6652,7849,1008,2042,1875,9395,4801,5952,33,4302,6843,3219,4117,9141,1400,1477,5011,6675,1150,5796,5421,900,7491,6477,7372,7697,8468,5014,2397,2491,6152,8562,3359,8298,9371,7509,8240,6694,4192,8536,2679,4367,4431,7402,2643,5554,6033,6148,5950,920,3,7846,319,3135,8307,7459,1731,8621,6404,9108,9921,4632,9526,2499,3843,5407,1577,5527,6194,4979,4897,8252,8868,9814,7924,6620,5186,4135,7487,231,2956,4247,9250,7548,5128,7823,5759,9468,8680,3206,7248,7690,4180,9921,5479,7769,6564,1582,2880,4750,3496,4620,2801,7606,8880,1531,1634,8906,5222,5374,1425,5469,1473,656,5136,433,7372,283,4483,2581,5899,4547,8550,3958,9046,1331,5772,5779,303,5723,4042,4007,5112,4627,9010,1807,2343,9693,325,5384,8073,8643,580,4957,9238,2332,8840,7038,2796,5143,6527,561,7730,44,5706,6588,890,3922,8618,4910,1239,758,733,4758,475,9830,1532,9642,6712,5388,1911,9219,2454,8025,8125,5994,7619,5362,3529,1792,4163,7954,3276,6983,7507,1332,9668,1075,6941,2445,3374,2897,1268,5002,6763,8699,5492,4789,7338,8483,5973,3913,6192,9815,4239,4182,5258,3574,1193,4,19,2658,8410,8991,4269,9760,2372,8242,2139,4943,2007,2801,7720,8681,6624,5944,7965,9901,9333,618,7275,7800,3046,3724,3652,6713,3357,4015,4515,8431,4115,4626,730,7477,2305,6956,6494,8652,2634,5886,2975,3787,995,7814,3569,5845,7436,6859,7164,1357,4469,3110,1586,2655,3738,1897,9904,8968,77,8186,1368,1590,8320,294,3708,3813,7025,3377,1494,6465,1581,7272,7387,2557,3803,6072,3614,7361,242,4327,4876,995,2759,9568,1465,1021,8786,4129,2783,3529,8685,689,3625,7985,4666,5779,2965,1720,4371,8918,8795,1953,9318,1289,3771,1858,2766,6165,483,9828,1294,9,6362,9156,11,5855,7550,529,5139,961,1545,5080,2723,9908,5467,1752,5627,6585,5441,9414,8623,7037,3916,8398,4344,4549,2495,4065,1931,6725,677,9154,6873,9765,9024,3913,3764,1139,8627,6748,8139,416,1350,7908,3372,7738,8411,4023,9100,7547,6409,8285,9323,8518,7501,8000,546,5198,3940,5571,3989,4169,9893,572,1037,115,1137,707,397,4724,7158,4011,2126,6796,1264,2691,9163,6114,3155,3049,6964,9794,6896,4654,9731,209,8508,1594,7064,1627,4376,6912,9471,9849,7161,1007,9575,3347,2106,6226,2106,5828,1065,271,3636,2516,6585,937,573,4165,8113,2055,6067,177,7108,7352,

1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,2500,5606,4425,3380,8855,2392,1633,5770,85,4811,4504,261,1580,1022,9339,5549,149,9043,6621,3367,4564,6202,7766,2521,1892,7496,5832,9654,8895
9827,0,2743,7031,9493,2504,1109,9746,803,482,5311,7443,6180,146,3833,6208,4240,9533,5859,3088,7194,8357,2318,5360,8539,3636,1545,952,9100,5607
4664,1206,0,9937,1900,5232,3347,9699,2573,3994,1839,5449,4974,4642,4799,4768,3347,6128,7160,2463,7075,9449,4277,6503,2364,7672,8598,6321,8754,6010
5007,1820,573,0,7720,4018,1777,1725,7893,4847,2696,655,3912,9336,635,852,8400,6522,42,515,2075,8686,691,6745,784,3301,4940,4578,9598,3766
3543,1844,6728,8682,0,5425,2272,6857,7412,4146,8924,5292,9791,1173,8303,5743,5507,5071,8054,7949,9606,4345,651,6753,3171,2133,8664,2577,4718,8732
2251,5039,2198,6880,3013,0,5141,7293,5040,1347,2373,7186,881,2853,8941,8518,315,1111,101,6835,5137,7496,6969,9418,6870,1263,1990,7602,6344,9565
3385,8126,7261,9182,2093,8667,0,1605,3006,6950,6030,5751,9155,3322,7521,7103,2199,7252,5949,7132,4357,858,9361,7633,7658,7688,3614,8876,9679,7367
4759,4111,9837,728,4073,9854,6493,0,9321,1481,3020,3553,4350,2346,2099,6249,9855,6824,1365,8446,9164,6920,5065,9477,848,1418,647,360,2060,6580
1696,9212,9045,7146,9938,8756,8480,4939,0,6395,2368,1627,7205,1030,2066,6837,279,7996,2740,1589,9531,5785,6270,2532,6743,2208,1669,7184,8360,9620
6013,9696,8757,1779,6672,5161,6014,6910,5086,0,5896,5801,2900,9921,7870,152,8412,4637,5031,9113,7599,6673,8617,1449,8449,3751,1772,80,6063,1052
8360,5727,7248,62,1286,5877,5818,5068,5285,2674,0,6425,7333,6264,7996,6608,2340,8649,1481,3857,7820,7407,9650,1887,9524,6830,7210,2895,7695,7191
1420,5656,6060,429,4176,1053,8947,6886,2244,7883,1260,0,600,5083,8352,4217,2192,7965,1154,1498,9286,5313,2980,522,4756,7631,5921,9422,8513,3289
7120,237,3814,583,6988,6917,4918,3149,4007,8958,2769,9991,0,2732,5093,8547,9277,4954,857,8678,2724,7501,4597,8271,888,385,6403,9665,7052,1200
2162,813,4747,2815,2894,7173,2245,4903,5799,4718,3792,3058,3015,0,4144,8330,4727,1788,8486,1647,8728,1186,614,8972,3900,159,5991,7190,9254,1831
7399,6851,5601,9414,6113,9799,5075,9630,8045,9839,8983,4804,6980,2250,0,1861,8187,7068,5714,4543,9404,7522,1237,2255,7508,6783,1213,7812,9759,6652
7849,1008,2042,1875,9395,4801,5952,33,4302,6843,3219,4117,9141,1400,1477,0,5011,6675,1150,5796,5421,900,7491,6477,7372,7697,8468,5014,2397,2491
6152,8562,3359,8298,9371,7509,8240,6694,4192,8536,2679,4367,4431,7402,2643,5554,0,6033,6148,5950,920,3,7846,319,3135,8307,7459,1731,8621,6404
9108,9921,4632,9526,2499,3843,5407,1577,5527,6194,4979,4897,8252,8868,9814,7924,6620,0,5186,4135,7487,231,2956,4247,9250,7548,5128,7823,5759,9468
8680,3206,7248,7690,4180,9921,5479,7769,6564,1582,2880,4750,3496,4620,2801,7606,8880,1531,0,1634,8906,5222,5374,1425,5469,1473,656,5136,433,7372
283,4483,2581,5899,4547,8550,3958,9046,1331,5772,5779,303,5723,4042,4007,5112,4627,9010,1807,0,2343,9693,325,5384,8073,8643,580,4957,9238,2332
8840,7038,2796,5143,6527,561,7730,44,5706,6588,890,3922,8618,4910,1239,758,733,4758,475,9830,0,1532,9642,6712,5388,1911,9219,2454,8025,8125
5994,7619,5362,3529,1792,4163,7954,3276,6983,7507,1332,9668,1075,6941,2445,3374,2897,1268,5002,6763,8699,0,5492,4789,7338,8483,5973,3913,6192,9815
4239,4182,5258,3574,1193,4,19,2658,8410,8991,4269,9760,2372,8242,2139,4943,2007,2801,7720,8681,6624,5944,0,7965,9901,9333,618,7275,7800,3046
3724,3652,6713,3357,4015,4515,8431,4115,4626,730,7477,2305,6956,6494,8652,2634,5886,2975,3787,995,7814,3569,5845,0,7436,6859,7164,1357,4469,3110
1586,2655,3738,1897,9904,8968,77,8186,1368,1590,8320,294,3708,3813,7025,3377,1494,6465,1581,7272,7387,2557,3803,6072,0,3614,7361,242,4327,4876
995,2759,9568,1465,1021,8786,4129,2783,3529,8685,689,3625,7985,4666,5779,2965,1720,4371,8918,8795,1953,9318,1289,3771,1858,0,2766,6165,483,9828
1294,9,6362,9156,11,5855,7550,529,5139,961,1545,5080,2723,9908,5467,1752,5627,6585,5441,9414,8623,7037,3916,8398,4344,4549,0,2495,4065,1931
6725,677,9154,6873,9765,9024,3913,3764,1139,8627,6748,8139,416,1350,7908,3372,7738,8411,4023,9100,7547,6409,8285,9323,8518,7501,8000,0,546,5198
3940,5571,3989,4169,9893,572,1037,115,1137,707,397,4724,7158,4011,2126,6796,1264,2691,9163,6114,3155,3049,6964,9794,6896,4654,9731,209,0,8508
1594,7064,1627,4376,6912,9471,9849,7161,1007,9575,3347,2106,6226,2106,5828,1065,271,3636,2516,6585,937,573,4165,8113,2055,6067,177,7108,7352,0
