Best Solution Found: (1530)
01 17 15 18 19 20 02 30 29 28 23 37 22 21 14 11 13 38 10 09 12 16 06 08 07 05 36 34 31 27 24 25 26 32 33 35 39 03 04 01

01 17 = 13
17 15 = 25
15 18 = 31
18 19 = 7
19 20 = 9
20 02 = 32
02 30 = 57
30 29 = 8
29 28 = 20
28 23 = 36
23 37 = 68
37 22 = 27
22 21 = 19
21 14 = 60
14 11 = 125
11 13 = 53
13 38 = 61
38 10 = 7
10 09 = 20
09 12 = 33
12 16 = 30
16 06 = 60
06 08 = 34
08 07 = 31
07 05 = 95
05 36 = 51
36 34 = 56
34 31 = 15
31 27 = 31
27 24 = 36
24 25 = 19
25 26 = 67
26 32 = 59
32 33 = 50
33 35 = 56
35 39 = 48
39 03 = 38
03 04 = 16
04 01 = 27
