Best Solution Found: (1473)
01 14 12 15 16 17 02 27 26 25 20 34 19 18 11 10 35 09 13 06 08 07 05 33 31 28 24 21 22 23 29 30 32 36 03 04 01

01 14 = 13
14 12 = 25
12 15 = 31
15 16 = 7
16 17 = 9
17 02 = 32
02 27 = 57
27 26 = 8
26 25 = 20
25 20 = 36
20 34 = 68
34 19 = 27
19 18 = 19
18 11 = 60
11 10 = 125
10 35 = 57
35 09 = 7
09 13 = 83
13 06 = 60
06 08 = 34
08 07 = 31
07 05 = 95
05 33 = 51
33 31 = 56
31 28 = 15
28 24 = 31
24 21 = 36
21 22 = 19
22 23 = 67
23 29 = 59
29 30 = 50
30 32 = 56
32 36 = 48
36 03 = 38
03 04 = 16
04 01 = 27
