Best Solution Found: (1608)
01 34 03 14 36 05 06 07 08 33 09 37 10 38 12 39 20 21 41 19 40 11 52 15 13 16 17 18 26 25 43 23 42 22 51 24 55 28 50 46 31 47 56 35 02 04 49 32 48 29 54 44 45 30 27 53 01

01 34 = 20
34 03 = 19
03 14 = 37
14 36 = 50
36 05 = 38
05 06 = 47
06 07 = 40
07 08 = 68
08 33 = 26
33 09 = 7
09 37 = 37
37 10 = 11
10 38 = 41
38 12 = 71
12 39 = 12
39 20 = 67
20 21 = 17
21 41 = 12
41 19 = 56
19 40 = 19
40 11 = 47
11 52 = 6
52 15 = 23
15 13 = 25
13 16 = 31
16 17 = 7
17 18 = 9
18 26 = 42
26 25 = 20
25 43 = 12
43 23 = 53
23 42 = 30
42 22 = 10
22 51 = 14
51 24 = 17
24 55 = 22
55 28 = 14
28 50 = 9
50 46 = 39
46 31 = 26
31 47 = 34
47 56 = 14
56 35 = 8
35 02 = 30
02 04 = 20
04 49 = 22
49 32 = 29
32 48 = 29
48 29 = 105
29 54 = 16
54 44 = 26
44 45 = 35
45 30 = 37
30 27 = 36
27 53 = 9
53 01 = 7
