Best Solution Found: (188)
01 46 40 34 07 02 12 24 47 43 11 15 08 06 27 32 42 09 49 29 41 18 38 44 20 31 39 33 48 37 21 25 22 50 23 19 03 30 14 05 35 10 16 28 45 04 17 13 26 36 01

01 46 = 2
46 40 = 1
40 34 = 6
34 07 = 1
07 02 = 2
02 12 = 3
12 24 = 5
24 47 = 5
47 43 = 2
43 11 = 10
11 15 = 6
15 08 = 4
08 06 = 7
06 27 = 2
27 32 = 1
32 42 = 1
42 09 = 2
09 49 = 1
49 29 = 1
29 41 = 14
41 18 = 3
18 38 = 2
38 44 = 5
44 20 = 11
20 31 = 2
31 39 = 3
39 33 = 5
33 48 = 3
48 37 = 3
37 21 = 3
21 25 = 1
25 22 = 9
22 50 = 1
50 23 = 1
23 19 = 1
19 03 = 3
03 30 = 4
30 14 = 6
14 05 = 4
05 35 = 2
35 10 = 6
10 16 = 5
16 28 = 2
28 45 = 5
45 04 = 6
04 17 = 1
17 13 = 3
13 26 = 3
26 36 = 2
36 01 = 7
