Best Solution Found: (1776)
01 26 02 10 34 28 03 42 44 23 21 38 39 19 18 13 33 08 24 35 14 47 37 15 36 16 17 46 40 20 45 22 41 48 27 43 29 04 25 05 30 31 06 32 07 09 12 11 01

01 26 = 20
26 02 = 19
02 10 = 37
10 34 = 19
34 28 = 31
28 03 = 85
03 42 = 70
42 44 = 32
44 23 = 29
23 21 = 56
21 38 = 54
38 39 = 7
39 19 = 25
19 18 = 20
18 13 = 45
13 33 = 19
33 08 = 67
08 24 = 113
24 35 = 34
35 14 = 12
14 47 = 18
47 37 = 12
37 15 = 34
15 36 = 49
36 16 = 56
16 17 = 36
17 46 = 22
46 40 = 62
40 20 = 41
20 45 = 16
45 22 = 112
22 41 = 34
41 48 = 14
48 27 = 8
27 43 = 39
43 29 = 27
29 04 = 62
04 25 = 26
25 05 = 7
05 30 = 21
30 31 = 44
31 06 = 11
06 32 = 41
32 07 = 58
07 09 = 30
09 12 = 31
12 11 = 32
11 01 = 39
