https://www.random.org/integers/?num=380&min=1&max=10000&col=1&base=10&format=plain&rnd=date.2021-02-20
2500,5606,4425,3380,8855,2392,1633,5770,85,4811,4504,261,1580,1022,9339,5549,149,9043,6621,3367,4564,6202,7766,2521,1892,7496,5832,9654,8895,9827,2743,7031,9493,2504,1109,9746,803,482,5311,7443,6180,146,3833,6208,4240,9533,5859,3088,7194,8357,2318,5360,8539,3636,1545,952,9100,5607,4664,1206,9937,1900,5232,3347,9699,2573,3994,1839,5449,4974,4642,4799,4768,3347,6128,7160,2463,7075,9449,4277,6503,2364,7672,8598,6321,8754,6010,5007,1820,573,7720,4018,1777,1725,7893,4847,2696,655,3912,9336,635,852,8400,6522,42,515,2075,8686,691,6745,784,3301,4940,4578,9598,3766,3543,1844,6728,8682,5425,2272,6857,7412,4146,8924,5292,9791,1173,8303,5743,5507,5071,8054,7949,9606,4345,651,6753,3171,2133,8664,2577,4718,8732,2251,5039,2198,6880,3013,5141,7293,5040,1347,2373,7186,881,2853,8941,8518,315,1111,101,6835,5137,7496,6969,9418,6870,1263,1990,7602,6344,9565,3385,8126,7261,9182,2093,8667,1605,3006,6950,6030,5751,9155,3322,7521,7103,2199,7252,5949,7132,4357,858,9361,7633,7658,7688,3614,8876,9679,7367,4759,4111,9837,728,4073,9854,6493,9321,1481,3020,3553,4350,2346,2099,6249,9855,6824,1365,8446,9164,6920,5065,9477,848,1418,647,360,2060,6580,1696,9212,9045,7146,9938,8756,8480,4939,6395,2368,1627,7205,1030,2066,6837,279,7996,2740,1589,9531,5785,6270,2532,6743,2208,1669,7184,8360,9620,6013,9696,8757,1779,6672,5161,6014,6910,5086,5896,5801,2900,9921,7870,152,8412,4637,5031,9113,7599,6673,8617,1449,8449,3751,1772,80,6063,1052,8360,5727,7248,62,1286,5877,5818,5068,5285,2674,6425,7333,6264,7996,6608,2340,8649,1481,3857,7820,7407,9650,1887,9524,6830,7210,2895,7695,7191,1420,5656,6060,429,4176,1053,8947,6886,2244,7883,1260,600,5083,8352,4217,2192,7965,1154,1498,9286,5313,2980,522,4756,7631,5921,9422,8513,3289,7120,237,3814,583,6988,6917,4918,3149,4007,8958,2769,9991,2732,5093,8547,9277,4954,857,8678,2724,7501,4597,8271,888,385,6403,9665,7052,1200,2162,813,4747,

1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,2500,5606,4425,3380,8855,2392,1633,5770,85,4811,4504,261,1580,1022,9339,5549,149,9043,6621
3367,0,4564,6202,7766,2521,1892,7496,5832,9654,8895,9827,2743,7031,9493,2504,1109,9746,803,482
5311,7443,0,6180,146,3833,6208,4240,9533,5859,3088,7194,8357,2318,5360,8539,3636,1545,952,9100
5607,4664,1206,0,9937,1900,5232,3347,9699,2573,3994,1839,5449,4974,4642,4799,4768,3347,6128,7160
2463,7075,9449,4277,0,6503,2364,7672,8598,6321,8754,6010,5007,1820,573,7720,4018,1777,1725,7893
4847,2696,655,3912,9336,0,635,852,8400,6522,42,515,2075,8686,691,6745,784,3301,4940,4578
9598,3766,3543,1844,6728,8682,0,5425,2272,6857,7412,4146,8924,5292,9791,1173,8303,5743,5507,5071
8054,7949,9606,4345,651,6753,3171,0,2133,8664,2577,4718,8732,2251,5039,2198,6880,3013,5141,7293
5040,1347,2373,7186,881,2853,8941,8518,0,315,1111,101,6835,5137,7496,6969,9418,6870,1263,1990
7602,6344,9565,3385,8126,7261,9182,2093,8667,0,1605,3006,6950,6030,5751,9155,3322,7521,7103,2199
7252,5949,7132,4357,858,9361,7633,7658,7688,3614,0,8876,9679,7367,4759,4111,9837,728,4073,9854
6493,9321,1481,3020,3553,4350,2346,2099,6249,9855,6824,0,1365,8446,9164,6920,5065,9477,848,1418
647,360,2060,6580,1696,9212,9045,7146,9938,8756,8480,4939,0,6395,2368,1627,7205,1030,2066,6837
279,7996,2740,1589,9531,5785,6270,2532,6743,2208,1669,7184,8360,0,9620,6013,9696,8757,1779,6672
5161,6014,6910,5086,5896,5801,2900,9921,7870,152,8412,4637,5031,9113,0,7599,6673,8617,1449,8449
3751,1772,80,6063,1052,8360,5727,7248,62,1286,5877,5818,5068,5285,2674,0,6425,7333,6264,7996
6608,2340,8649,1481,3857,7820,7407,9650,1887,9524,6830,7210,2895,7695,7191,1420,0,5656,6060,429
4176,1053,8947,6886,2244,7883,1260,600,5083,8352,4217,2192,7965,1154,1498,9286,5313,0,2980,522
4756,7631,5921,9422,8513,3289,7120,237,3814,583,6988,6917,4918,3149,4007,8958,2769,9991,0,2732
5093,8547,9277,4954,857,8678,2724,7501,4597,8271,888,385,6403,9665,7052,1200,2162,813,4747,0
