Best Solution Found: (15077)
01 05 34 13 19 04 07 28 21 08 16 26 15 18 03 09 32 25 30 33 31 11 06 24 36 35 14 23 37 29 27 10 17 12 22 38 40 20 39 02 01

01 05 = 394
05 34 = 334
34 13 = 406
13 19 = 13
19 04 = 362
04 07 = 771
07 28 = 432
28 21 = 861
21 08 = 87
08 16 = 51
16 26 = 96
26 15 = 80
15 18 = 238
18 03 = 429
03 09 = 186
09 32 = 296
32 25 = 315
25 30 = 613
30 33 = 332
33 31 = 456
31 11 = 764
11 06 = 260
06 24 = 203
24 36 = 921
36 35 = 610
35 14 = 355
14 23 = 171
23 37 = 280
37 29 = 299
29 27 = 502
27 10 = 718
10 17 = 537
17 12 = 74
12 22 = 388
22 38 = 451
38 40 = 268
40 20 = 180
20 39 = 184
39 02 = 732
02 01 = 428
