Best Solution Found: (1286)
01 14 13 15 16 17 02 26 25 24 27 28 29 30 23 21 22 32 19 20 18 12 09 11 10 33 08 05 07 06 31 34 03 04 01

01 14 = 13
14 13 = 25
13 15 = 31
15 16 = 7
16 17 = 9
17 02 = 32
02 26 = 57
26 25 = 8
25 24 = 20
24 27 = 48
27 28 = 53
28 29 = 50
29 30 = 28
30 23 = 46
23 21 = 36
21 22 = 19
22 32 = 76
32 19 = 27
19 20 = 17
20 18 = 45
18 12 = 60
12 09 = 125
09 11 = 53
11 10 = 41
10 33 = 20
33 08 = 7
08 05 = 54
05 07 = 34
07 06 = 31
06 31 = 101
31 34 = 32
34 03 = 38
03 04 = 16
04 01 = 27
