Best Solution Found: (1950)
01 29 26 28 07 14 67 15 13 16 17 19 20 21 22 23 24 61 34 36 35 70 42 38 39 37 64 41 69 47 63 55 52 51 68 50 48 40 49 56 57 71 04 05 09 08 10 12 11 59 62 60 58 53 54 46 45 44 43 33 27 18 65 25 30 31 32 66 02 03 06 01

01 29 = 13
29 26 = 27
26 28 = 19
28 07 = 31
07 14 = 54
14 67 = 26
67 15 = 7
15 13 = 21
13 16 = 44
16 17 = 11
17 19 = 35
19 20 = 25
20 21 = 62
21 22 = 9
22 23 = 12
23 24 = 49
24 61 = 113
61 34 = 27
34 36 = 17
36 35 = 12
35 70 = 30
70 42 = 12
42 38 = 34
38 39 = 19
39 37 = 30
37 64 = 24
64 41 = 17
41 69 = 22
69 47 = 14
47 63 = 9
63 55 = 39
55 52 = 32
52 51 = 9
51 68 = 16
68 50 = 26
50 48 = 17
48 40 = 22
40 49 = 59
49 56 = 92
56 57 = 34
57 71 = 14
71 04 = 8
04 05 = 30
05 09 = 20
09 08 = 5
08 10 = 28
10 12 = 34
12 11 = 31
11 59 = 70
59 62 = 32
62 60 = 30
60 58 = 29
58 53 = 56
53 54 = 19
54 46 = 35
46 45 = 24
45 44 = 8
44 43 = 20
43 33 = 45
33 27 = 19
27 18 = 47
18 65 = 6
65 25 = 24
25 30 = 31
30 31 = 7
31 32 = 9
32 66 = 25
66 02 = 7
02 03 = 20
03 06 = 19
06 01 = 27
