Best Solution Found: (15009)
01 17 29 34 04 06 28 40 30 36 41 13 10 44 18 08 12 39 20 27 24 49 48 42 07 38 45 23 33 50 32 16 31 25 21 26 37 35 43 19 47 46 03 09 11 22 15 05 02 14 01

01 17 = 255
17 29 = 57
29 34 = 80
34 04 = 201
04 06 = 563
06 28 = 208
28 40 = 396
40 30 = 19
30 36 = 245
36 41 = 18
41 13 = 443
13 10 = 972
10 44 = 4
44 18 = 140
18 08 = 455
08 12 = 19
12 39 = 15
39 20 = 166
20 27 = 72
27 24 = 35
24 49 = 590
49 48 = 91
48 42 = 68
42 07 = 293
07 38 = 438
38 45 = 59
45 23 = 314
23 33 = 279
33 50 = 71
50 32 = 224
32 16 = 581
16 31 = 28
31 25 = 421
25 21 = 1050
21 26 = 511
26 37 = 805
37 35 = 107
35 43 = 41
43 19 = 719
19 47 = 9
47 46 = 511
46 03 = 183
03 09 = 133
09 11 = 90
11 22 = 53
22 15 = 101
15 05 = 902
05 02 = 611
02 14 = 468
14 01 = 895
